,president,first-term,word_count,fk_grade,readability
0,Trump,2017,1467,8.0,64.71
1,Obama,2009,2411,9.5,66.07
2,Bush-GW,2001,1589,9.1,61.67
3,Clinton,1993,1596,8.7,62.68
4,Bush-G ,1989,2337,6.0,80.62
5,Reagan,1981,4041,9.1,61.67
6,Carter,1977,1229,11.1,56.59
7,Nixon,1969,2131,8.7,68.1
8,Johnson,1965,1496,6.8,73.17
9,Kennedy,1961,1368,10.3,64.04
